celebrity,almaMater
Eric Xing,University of California
Eric Xu,University of California
Eric Xu Yong,University of California
Erica Lindbeck,University of California
Erick Thohir,Glendale Community College (California)
Erik Courtney,University of California
Erik Olin Wright,University of California
Erik Sten,Stanford University
Erik Thorbecke,University of California
Erik Wahl,University of San Diego
Erika Harlacher,California State Polytechnic University
Ernest Boyer,University of Southern California
Ernest Edwin Sechler,California Institute of Technology
Ernest L. Boyer,University of Southern California
Ernest May,University of California
Ernest McFarland,Stanford University
Ernest Moniz,Stanford University
Ernest de Saisset,Santa Clara University
Ernesto Pernia,University of California
Ernie Johnson,University of California
Ernie Leidiger,Naval Postgraduate School
Ernie Wasson,Humboldt State University
Estella Sneider,University of Southern California
Esther Kia'aina,University of Southern California
Esther Lederberg,Stanford University
Esther Somerfeld-Ziskind,University of California
Esther Williams,Los Angeles City College
Esther Wojcicki,San Jose State University
Esther Wojcicki,University of California
Ethan Berkowitz,University of California
Eugene A. Cernan,Naval Postgraduate School
Eugene Cernan,Naval Postgraduate School
Eugene England,Stanford University
Eugene M. Premo,Santa Clara University
Eugene Merle Shoemaker,California Institute of Technology
Eugene Meyer,University of California
Eugene Myers,California Institute of Technology
Eugene S. Mills,Claremont Graduate University
Eugene Volokh,University of California
Eunice Kennedy Shriver,Stanford University
Eva Longoria,California State University
Evan Caminker,University of California
Evan H. Caminker,University of California
Evan Low,San Jose State University
Evan Low,De Anza College
Evan O'Dorney,University of California
Evan Wallach,UC Berkeley School of Law
Evan Wallach,Diablo Valley College
Evelina Zuni Lucero,Stanford University
Evsey Domar,University of California
Ezra Klein,University of California
F. Curtis Michel,California Institute of Technology
F. James Rutherford,Stanford University
F. James Rutherford,University of California
F. Story Musgrave,University of California
Fabian Núñez,Pitzer College
Fahd bin Abdul Rahman Balghunaim,Stanford University
Fahed Boodai,University of San Diego
Faoa Aitofele Sunia,University of San Francisco
Faoa Aitofele Sunia,San Francisco State University
Faoa Sunia,University of San Francisco
Faoa Sunia,San Francisco State University
Farangis Yeganegi,University of Southern California
Farangis Yeganegi (Shahrokh,University of Southern California
Farhan Zaidi,University of California
Farzad Dibachi,San Jose State University
Fay Lanphier,Oakland High School (Oakland
Fay Stender,University of California
Fayez Tarawneh,University of Southern California
Fayez al-Tarawneh,University of Southern California
Fazle Hussain,Stanford University
Fei-Fei Li,California Institute of Technology
Felicia D. Henderson,University of California
Felipe Fuentes,University of California
Felipe Fuentes,Pepperdine University
Feng Shih-kuan,University of Southern California
Feng Zhang,Stanford University
Ferdinand Fernandez,University of Southern California
Ferdinand Francis Fernandez,University of Southern California
Ferial Govashiri,University of California
Fernando Cheung,California State University
Fernando Cheung,University of California
Fernando Cheung Chiu-hung,California State University
Fernando Cheung Chiu-hung,University of California
Fernando Chui,California State University
Fernando J. Corbató,California Institute of Technology
Fernando José Corbató,California Institute of Technology
Fernando M. Olguin,UC Berkeley School of Law
Fernando M. Torres-Gil,San Jose State University
Fernando Nottebohm,University of California
Fernando Olguin,UC Berkeley School of Law
Fernando Torres-Gil,San Jose State University
Fess Parker,University of Southern California
Fiona Ma,Pepperdine University
Fiona Ma,Golden Gate University
Fiorella Terenzi,University of California
Firouz Michael Naderi(,University of Southern California
Firouz Naderi,University of Southern California
Fitria Yusuf,Menlo College
Fletcher Guard Watson,Pomona College
Fletcher Watson,Pomona College
Florence Augusta Merriam Bailey,Stanford University
Florence Prag Kahn,University of California
Florence Y. Pan,Stanford Law School
Florence Yu Pan,Stanford Law School
Florence-Marie Cooper,Whittier Law School
Florence-Marie Cooper,City College of San Francisco
Flossie Wong-Staal,University of California
Forest Whitaker,University of Southern California
Forrest Bird,Northrop University
Fotios Zaharoglou,California Institute of Technology
Fotios Zaharoglou,University of California
Fran Pavley,California State University
Fran Townsend,University of San Diego
France A. Córdova,California Institute of Technology
France A. Córdova,Stanford University
France Anne Córdova,California Institute of Technology
France Anne Córdova,Stanford University
Frances Arnold,University of California
Frances Hamilton Arnold,University of California
Frances Townsend,University of San Diego
Francesco Parisi,University of California
Francine Coeytaux,Stanford University
Francine Coeytaux,University of California
Francine Patterson,Stanford University
Francis Ford Coppola,UCLA School of Theater
Francis P. Filice,University of San Francisco
Francis P. Filice,University of California
Francisco Barnés de Castro,University of California
Francisco I. Madero,University of California
Francisco X. Alarcón,Stanford University
Francisco X. Alarcón,California State University
Frank A. McClintock,California Institute of Technology
Frank Agrama,University of California
Frank Asaro,University of California
Frank B. Tipton,Stanford University
Frank Bidart,University of California
Frank Borman,California Institute of Technology
Frank C. Damrell Jr.,University of California
Frank C. Newman,University of California
Frank Cady,Stanford University
Frank Capra,California Institute of Technology
Frank Chin,University of California
Frank Church,Stanford University
Frank Cooper III,University of California
Frank E. Loy,University of California
"Frank F. Borman, II",California Institute of Technology
Frank Fahrenkopf,University of Nevada
Frank Fahrenkopf,University of California
Frank Fertitta III,University of Southern California
Frank Hodsoll,Stanford University
"Frank J. Fahrenkopf, Jr.",University of Nevada
"Frank J. Fahrenkopf, Jr.",University of California
Frank J. Hennessy,University of California
Frank K. Wheaton,California State University
Frank Kendall III,California Institute of Technology
Frank McEnulty,California State University
Frank McEnulty,USC Marshall School of Business
Frank Murkowski,Santa Clara University
Frank Norris,University of California
Frank Oppenheimer,California Institute of Technology
Frank Oz,Laney College
Frank Riggs,Golden Gate University
Frank Ruskey,University of California
Frank Russell Jump,University of California
Frank Skartados,California State University
Frank Somerville,San Francisco State University
Frank Spedding,University of California
Frank Stephenson,Art Center College of Design
Frank Tipton,Stanford University
Frank Welker,Santa Monica College
Frankie Sue Del Papa,University of Nevada
Franklin E. Bondonno,Pacific Union College
Franklin E. Bondonno,Santa Clara University
Franklin Patterson,Occidental College
Franklin Patterson,University of California
Franklin Patterson,Claremont Graduate University
Franklin R. Parker,Stanford Law School
François-Xavier de Donnea,University of California
Freada Kapor Klein,University of California
Fred Adams,University of California
Fred Alan Wolf,University of California
Fred C. Adams,University of California
Fred Claire,El Camino College
Fred Cohen,University of Southern California
Fred D. Fagg III,University of Southern California
Fred Dow Fagg III,University of Southern California
Fred DuVal,Occidental College
Fred Dutton,Stanford Law School
Fred Dutton,University of California
Fred Katayama,Loyola High School (Los Angeles)
Fred Korematsu,Castlemont High School
Fred Savage,Stanford University
Fred Sherman,University of California
Fred W. Turek,Stanford University
Freda Cruse Atwell,University of California
"Frederic Evans Wakeman, Jr.",University of California
Frederic Wakeman,University of California
Frederica Darema,University of California
Frederick B. Cohen,University of Southern California
Frederick Seitz,Lick-Wilmerding High School
Frederick Seitz,Stanford University
Frederick Terman,Stanford University
Frederick Van Voorhies Holman,University of California
Frederick W. Sturckow,California Polytechnic State University
Fritz Guy,La Sierra University
Frøystein Gjesdal,Stanford University
Fuad El-Hibri,Stanford University
Fumitaro Ohama,University of Southern California
G. David Low,Stanford University
G. Wayne Clough,University of California
G. William Miller,UC Berkeley School of Law
G. William Skinner,Deep Springs College
Gabe Rotter,University of Southern California
Gail Omvedt,University of California
Gail Schoettler,Stanford University
Galo Plaza,University of California
Gar Alperovitz,University of California
Gareth Penn,University of California
Garland Ellis Burrell Jr.,California Western School of Law
Garland Ellis Burrell Jr.,California State University
"Garland, Burrell, Jr.",California Western School of Law
"Garland, Burrell, Jr.",California State University
Garry Simpson,Stanford University
Garth Fisher,University of California
Garth Gibson,University of California
Garth L. Nicolson,University of California
Gary Allen Feess,UCLA School of Law
Gary B. Mesibov,Stanford University
Gary Charness,University of California
Gary Condit,University of Southern California
Gary Condit,Modesto Junior College
Gary D. Solis,San Diego State University
Gary D. Solis,UC Davis School of Law
Gary DeLong,USC Marshall School of Business
Gary DeLong,California State University
Gary Fan,Academy of Art University
Gary Fan,San Francisco State University
Gary Fan Kwok-wai,Academy of Art University
Gary Fan Kwok-wai,San Francisco State University
Gary Feinerman,Stanford Law School
Gary J. Aguirre,UC Berkeley School of Law
Gary J. Aguirre,University of California
Gary M. Mavko,Stanford University
Gary Mauser,University of California
Gary Mavko,Stanford University
Gary Mekikian,Stanford University
Gary Mekikian,University of Southern California
Gary Miller,Mt. San Antonio College
Gary Podesto,Santa Clara University
Gary S. May,University of California
Gary Seitz,University of California
Gary Stephen May,University of California
Gary Stormo,California Institute of Technology
Gary W. Goldstein,University of California
Gary Young,University of California
Gavin E. Crooks,University of California
Gavin Newsom,Santa Clara University
Gavriel Salomon,Stanford University
Gayle Hunnicutt,University of California
Gaétan Barrette,University of San Diego
Gene D. Block,Stanford University
Gene Luen Yang,University of California
Gene Roddenberry,Los Angeles City College
Genevieve Bell,Stanford University
Geno Martini,University of Nevada
Genta H. Holmes,University of Southern California
Geoff Ralston,Stanford University
Geoffrey Frank Grant,University of California
Geoffrey Gamble,University of California
Geoffrey Gamble,California State University
Geoffrey Loftus,Stanford University
Geoffrey Marcy,University of California
Geoffrey Pyatt,University of California
Geoffrey R. Loftus,Stanford University
Geoffrey R. Pyatt,University of California
Geoffrey Trachtenberg,UC Berkeley School of Law
Geoffrey West,Stanford University
Geoffrey von Maltzahn,University of California
George A. Bekey,University of California
George B. Daniels,UC Berkeley School of Law
George Blumenthal,University of California
George Brown,University of California
"George Brown, Jr.",University of California
George Chang,California Institute of Technology
George Chanos,University of San Diego School of Law
"George Chapline, Jr.",California Institute of Technology
"George Chapline, Jr.",University of California
George D. Nelson,Harvey Mudd College
George David Kieffer,University of California
George Dewey Clyde,University of California
George Feher,University of California
"George Frederick Chapline, Jr.",California Institute of Technology
"George Frederick Chapline, Jr.",University of California
George Gascón,California State University
George Gilman,Southern Oregon University
George H. King,USC Gould School of Law
George H. King,University of California
George H. Wu,Pomona College
George Herbert Girty,Stanford University
George Herbig,University of California
George Ho,University of California
George Ho Ho-chi,University of California
George Horse-Capture,University of California
George Huang,University of Southern California
George Knapp,University of the Pacific (United States)
George Kuznets,Stanford University
George M. Stratton,University of California
George M. Whitesides,California Institute of Technology
George Malcolm Stratton,University of California
George Manley,San Jose State University
George McClelland Whitesides,California Institute of Technology
George McTurnan Kahin,Stanford University
George Miller,UC Davis School of Law
George Miller,Diablo Valley College
George Miller,San Francisco State University
George Mondo Kagonyera,UC Davis School of Veterinary Medicine
George Nelson,Harvey Mudd College
George Nuttall,University of California
George P. Fletcher,University of California
George P. Horse Capture,University of California
George P. Putnam,University of California
George Paxinos,University of California
George Perry,Allan Hancock College
George Perry,Scripps Institution of Oceanography
George Perry,Hopkins Marine Station
George Plafker,Stanford University
George Plafker,University of California
George R. Blumenthal,University of California
George R. Roberts,Claremont McKenna College
George R. Roberts,University of California
George Radanovich,California Polytechnic State University
George Starbuck,California Institute of Technology
George Starbuck,University of California
George Starbuck,Chadwick School
George Sundheim,Stanford University
George Takei,University of California
George Tchobanoglous,Stanford University
George Tchobanoglous,University of California
George Tchobanoglous,University of the Pacific (United States)
George W. Chang,University of California
George W. Hill,University of Southern California
George William Skinner,Deep Springs College
George Zweig,California Institute of Technology
Gerald Ash,California Institute of Technology
Gerald B. Cleaver,California Institute of Technology
Gerald Bryan Cleaver,California Institute of Technology
Gerald F. Uelmen,Loyola Marymount University
Gerald Joyce,University of California
Gerald Kron,University of California
Gerald P. Carr,University of Southern California
Gerald P. Carr,Naval Postgraduate School
Gerald R. Ash,California Institute of Technology
Gerald Uelmen,Loyola Marymount University
Gerald Wayne Clough,University of California
Gerald Wiegert,Art Center College of Design
Gerald Wiegert,Northrop University
Gerard Magliocca,Stanford University
Gerardo Compos Sandoval,University of California
Gerardo L. Munck,University of California
Gerardo Rodriguez Regordosa,Stanford University
Gerardo Sandoval,University of California
Gerold C. Dunn,Stanford University
Gesine Bullock-Prado,Southwestern Law School
Ghazi Abdul Rahman Al Gosaibi,University of Southern California
Gikas Hardouvelis,University of California
Gil Cedillo,People's College of Law
Gil Cedillo,University of California
Gil Garcetti,UCLA School of Law
Gil Garcetti,University of Southern California
Gil Kahele,Laney College
Gil Kenan,UCLA School of Theater
Gilbert Cedillo,People's College of Law
Gilbert Cedillo,University of California
Gilbert Strang,University of California
Gillian Lester,Stanford University
Gina Arnold,Stanford University
Gina Arnold,University of California
Gina Bianchini,Stanford University
Gina Glantz,University of California
Gina M. Biegel,Santa Clara University
Gina Simmons,Alliant International University
Gio Wiederhold,University of California
Girindra Mukerji,University of California
Girish Jhunjhnuwala,University of Southern California
Githa Hampson,University of California
Giuseppe Notarbartolo di Sciara,Scripps Institution of Oceanography
Gladys Anderson Emerson,Stanford University
Gladys Anderson Emerson,University of California
Gladys L. A. Emerson,Stanford University
Gladys L. A. Emerson,University of California
Glen Culler,University of California
Glen Moreno,Stanford University
Glenard P. Lipscomb,University of Southern California
Glenard P. Lipscomb,Woodbury University
Glenn Henry,California State University
Glenn M. Anderson,University of California
Glenn S. Dumke,Occidental College
Glenn S. Dumke,University of California
Glenn Seaborg,University of California
Glenn Wakai,University of Southern California
Gloria Molina,Rio Hondo College
Gloria Molina,California State University
Gloria Molina,East Los Angeles College
Gloria Negrete McLeod,Chaffey College
Gloria Romero,California State University
Gloria Romero,University of California
Gloria Stuart,University of California
Gloriana St. Clair,University of California
Gobind Behari Lal,University of California
Goli Ameri,Stanford University
Gong Zheng,Golden Gate University
Goodwin Knight,Stanford University
Goodwin Liu,Stanford University
Gopal Balakrishnan,University of California
Gordon Conway,University of California
Gordon Eugene Martin,University of California
Gordon Eugene Martin,San Diego State University
Gordon Eugene Martin,University of California
Gordon L. Park,Bakersfield College
Gordon Lesley Park,Bakersfield College
Gordon Moore,California Institute of Technology
Gordon Moore,San Jose State University
Gordon Moore,University of California
Gordon Novel,University of Southern California
Gordon Novel,Northrop University
Gordon P. Eaton,California Institute of Technology
Gordon Pettengill,University of California
Gordon Richard Conway,University of California
Grace Napolitano,Cerritos College
Grace Wahba,Stanford University
Graciela Chichilnisky,University of California
Grant E. Starrett,Stanford University
Grant Guilford,University of California
Grant Imahara,University of Southern California
Grant Sawyer,University of Nevada
Grant Starrett,Stanford University
Grant Woods,Occidental College
Granville Crabtree,University of California
"Granville H. Crabtree, Jr.",University of California
Gray Davis,Stanford University
Greco Belgica,University of California
Greer Grammer,University of Southern California
Greg Aghazarian,University of Southern California
Greg Aghazarian,University of the Pacific (United States)
Greg Barron,California State University
Greg Brannon,University of Southern California
Greg Brower,University of California
Greg Caton,Los Angeles Valley College
Greg Gutfeld,University of California
Greg Kuperberg,University of California
Greg Papadopoulos,University of California
Greg R. Barron,California State University
Greg Reitman,UCLA School of Theater
Gregory Chamitoff,California Institute of Technology
Gregory Chamitoff,California Polytechnic State University
Gregory D. Hess,University of California
Gregory Errol Chamitoff,California Institute of Technology
Gregory Errol Chamitoff,California Polytechnic State University
Gregory G. Raleigh,Stanford University
Gregory G. Raleigh,California Polytechnic State University
Gregory Hess,University of California
Gregory J. Hobbs Jr.,UC Berkeley School of Law
"Gregory J. Hobbs, Jr.",UC Berkeley School of Law
Gregory James Caton,Los Angeles Valley College
Gregory L. Fenves,University of California
Gregory Mandel,Stanford Law School
Gregory P. Schmidt,University of California
Gregory Peck,San Diego State University
Gregory Peck,University of California
Gregory Raleigh,Stanford University
Gregory Raleigh,California Polytechnic State University
Gregory Reyes,Saint Mary's College of California
Greig Smith,University of California
Greig Smith,University of Southern California
Gretchen Berland,Pomona College
Gretchen Carlson,Stanford University
Gretchen Daily,Stanford University
Grover Krantz,University of California
Guido Mina di Sospiro,University of Southern California
Guido Tabellini,University of California
Guillermo C. Bazan,California Institute of Technology
Guillermo Carlos Bazan,California Institute of Technology
Guillermo Ortiz,Stanford University
Guillermo Ortiz Martínez,Stanford University
Gunnar Carlsson,Stanford University
Gunnar E. Carlsson,Stanford University
Gus Morrison,San Jose State University
Guy Eckstine,California Institute of the Arts
Guy Kawasaki,Stanford University
Guy Madison,Bakersfield College
Guy S. Houston,Saint Mary's College of California
Guy Spencer Houston,Saint Mary's College of California
Gwen Stefani,California State University
Gwendoline Yeo,San Francisco Conservatory of Music
Gwendolyn Wright,University of California
H. Clyde Wilson Jr.,University of California
H. E. Hinton,University of California
H. Lee Swanson,California State University
H. R. Haldeman,University of California
H. William Menard,California Institute of Technology
HRH Prince Al-Waleed Bin Talal,Menlo College
HT Tran,San Jose State University
Habib Zargarpour,Art Center College of Design
Hailemariam Desalegn,Azusa Pacific University
Hal Finney,California Institute of Technology
Hal Roth,University of California
Hal Stalmaster,University of California
Halil Suleyman Ozerden,Stanford Law School
Halton Arp,California Institute of Technology
Hamer Budge,Stanford University
Hamer H. Budge,Stanford University
Hamid Akhavan,California Institute of Technology
Hamid Etemad,University of California
Hamid R. Moghadam,Stanford University
Hamilton O. Smith,University of California
Hamilton Smith,University of California
Han F. de Wit,University of California
Hana Mae Lee,Otis College of Art and Design
Hanan Samet,Stanford University
Handae Rhee,University of Southern California
Hank Moonjean,University of Southern California
Hank Risan,University of California
Hanna Rosin,Stanford University
Hannah Stocking,Dominican University of California
Hans Ansgar Ostrom,University of California
Hans Beimler,University of Southern California
Hans F. De Wit,University of California
Hans Fränkel,Stanford University
Hans Fränkel,University of California
Hans G. Klemm,Stanford University
Hans Klemm,Stanford University
Hans Mark,University of California
Hans Ostrom,University of California
Hans Zeiger,Pepperdine University
Hardin L.K. Coleman,Stanford University
"Hardin L.K. Coleman, Ph.D.",Stanford University
Hareesh Tibrewala,University of Southern California
Hari Balakrishnan,University of California
Harmon Kaslow,University of California
Harmon Kaslow,University of Southern California
Harmon M. Kaslow,University of California
Harmon M. Kaslow,University of Southern California
Harold C. Conklin,University of California
Harold Camping,University of California
Harold Clayton Urey,University of California
Harold Conklin,University of California
Harold Copp,University of California
Harold Katz,University of California
Harold Katz,UCLA School of Dentistry
Harold Louderback,University of Nevada
Harold M. Ickes,Stanford University
Harold M. Stark,University of California
Harold McGee,California Institute of Technology
Harold Stark,University of California
Harold Urey,University of California
Haroon Rashid,University of the Pacific (United States)
Harriet B. Presser,University of California
Harriet Presser,University of California
Harrison Brown,University of California
Harrison Scott Brown,University of California
Harry C. Katz,University of California
Harry E. Wheeler,Stanford University
Harry Edwards,San Jose State University
Harry Eugene Wheeler,Stanford University
Harry F. Noller,University of California
Harry Frederick Recher,Stanford University
Harry Glicken,Stanford University
Harry Harlow,Stanford University
Harry Kim,Southern Oregon University
Harry M. Rubin,Stanford University
Harry Pregerson,University of California
Harry Pregerson,UC Berkeley School of Law
Harry R. Wellman,University of California
Harry Robbins Haldeman,University of California
Harry von Zell,University of California
Hartmut Bossel,University of California
Harve Bennett,University of California
Harvey Butcher,California Institute of Technology
Harvey Monroe Hall,University of California
Harvey Raymond Butcher,California Institute of Technology
Hashim Djojohadikusumo,Pomona College
Hasok Chang,California Institute of Technology
Hasok Chang,Stanford University
Haywood Gilliam,Stanford Law School
"Haywood Stirling Gilliam, Jr.",Stanford Law School
Heather C. Allen,University of California
Heather Fargo,University of California
Heather Joy Knight,Stanford University
Heather Joy Knight,Loma Linda University
Heather Knight,Stanford University
Heather Knight,Loma Linda University
Heather Locklear,University of California
Heide Banks,University of Santa Monica
Heidi Barrett,University of California
Heidi Cruz,Claremont McKenna College
Heidi Jo Newberg,University of California
Heidi W. Durrow,Stanford University
Heidi Watney,University of San Diego
Heidi Wedel Durrow,Stanford University
Heinz Hofschneider,Menlo College
Heinz Hofschneider,California State University
Heinz Pagels,Stanford University
Helder Antunes,San Jose State University
Helen Quinn,Stanford University
Helena Wong,University of California
Helena Wong Pik-wan,University of California
Hemendra Aran,Haas School of Business
Henrich R. Greve,Stanford University
Henrik Fisker,Art Center College of Design
Henry Aldous Dixon,University of Southern California
Henry Burns,Pepperdine University
Henry C. Gordon,University of Southern California
Henry Eyring,University of California
Henry F Schaefer III,Stanford University
Henry F. Ashurst,Humphreys College
Henry F. Schaefer,Stanford University
Henry J. Aaron,University of California
Henry Kravis,Claremont McKenna College
Henry Lee Burns,Pepperdine University
Henry Louis Larsen,Army and Navy Academy
Henry M. Jackson,Stanford University
Henry Nelson Wieman,San Francisco Theological Seminary
Henry Perea,California State University
Henry Stapp,University of California
Henry Sun,California Institute of Technology
Henry T. Perea,California State University
Henry Taube,University of California
Henry Waxman,University of California
Henry William Menard,California Institute of Technology
Herb Klein,University of Southern California
Herbert G. Klein,University of Southern California
Herbert Hoover,Stanford University
Herbert M. Allison,Stanford University
Herbert Solomon,Stanford University
Herbert York,University of California
Herman Kahn,California Institute of Technology
Herman Kahn,University of California
Hidehiko Yuzaki,Stanford University
Hien Manh Tran,San Jose State University
Hilda Solis,California State Polytechnic University
Hilmi Volkan Demir,Stanford University
Hiram Johnson,University of California
Hiroaki Nakanishi,Stanford University
Hirofumi Uzawa,Stanford University
Hisayasu Nagata,University of California
Hisham Nazer,University of California
Ho Cheng-hong,University of California
Ho Ching,Stanford University
Ho Kwon Ping,Stanford University
Hobart Kelliston McDowell III,UCLA School of Law
Hobart Kelliston McDowell III,Stanford University
Holden Thorp,California Institute of Technology
Holly Kearl,Santa Clara University
Holly Madison,Loyola Marymount University
Holly Mitchell,University of California
Homa Sarshar,University of Southern California
Homer Baird Kidwell,Stanford University
Homer Lea,Stanford University
Honey Mahogany,University of Southern California
Hong Hocheng,University of California
Hong Jung-wook,Stanford Law School
Hong Seok-hyun,Stanford University
Hongkun Park,Stanford University
Hongkun Park,Lawrence Berkeley National Laboratory
Hope Jahren,University of California
Horace Byers,University of California
"Horace Heidt, Jr.",Stanford University
Horace R. Byers,University of California
Hossein Mousavian,Sacramento City College
Howard A. Stone,California Institute of Technology
Howard Adams,University of California
Howard Berg,California Institute of Technology
Howard Berman,University of California
Howard Blum,Stanford University
Howard C. Nielson,Stanford University
Howard Curtis Berg,California Institute of Technology
Howard Hinton,University of California
Howard Hughes,California Institute of Technology
Howard Lincoln,University of California
Howard P. Robertson,California Institute of Technology
Howard Scott Warshaw,John F. Kennedy University
Howard Shelanski,University of California
Howard Temin,California Institute of Technology
"Howard, Mildred",John F. Kennedy University
"Howard, Mildred",College of Alameda
Howell Conant,Art Center College of Design
Howell T. Conant,Art Center College of Design
Howie Lind,Naval Postgraduate School
Hsieh Kuo-liang,University of Southern California
Huang Tien-mu,University of Southern California
Huey P. Newton,University of California
Huey Percy Newton,University of California
Hugh Bradner,California Institute of Technology
Hugh Fletcher,Stanford University
Hugh Gusterson,Stanford University
Hugh Hallman,Claremont McKenna College
Hugh Nibley,University of California
Hugh O'Brian,University of California
Hugo J. Bellen,University of California
Hugo Schwyzer,University of California
Hui-Hai Liu,University of California
Huimin Zhao,California Institute of Technology
Hunter Ellis,University of Southern California
I. Nelson Rose,University of California
Ian A. Young,University of California
Ian Agol,California Institute of Technology
Ian Agol,University of California
Ian Avrum Goldberg,University of California
Ian Fried,USC School of Cinematic Arts
Ian Goldberg,University of California
Ian Goodfellow,Stanford University
Ian Sander,University of Southern California
Ian Wallach,University of California
Ibrahim Lipumba,Stanford University
Ibrahim Warde,University of California
"Ignazio A. ""Ig"" Vella",Santa Clara University
Ignazio Vella,Santa Clara University
Ihm Ji-soon,University of California
Ihm Jisoon,University of California
Ilesanmi Adesida,University of California
Ilya Kaminsky,University of California
Imran Khan,Fremont High School (Sunnyvale
Indira Samarasekera,University of California
Indira Talwani,UC Berkeley School of Law
Indre Viskontas,San Francisco Conservatory of Music
Indre Viskontas,University of California
Ingrid Chua-Go,Saint Mary's College of California
Ingrid D. Rowland,Pomona College
Ingrid Drake Rowland,Pomona College
Insoo Hyun,Stanford University
Ira J. Kurzban,University of California
Ira P. Rothken,Golden Gate University School of Law
Ira Ruskin,Stanford University
Ira Ruskin,University of California
Ira S. Bowen,California Institute of Technology
Ira Sprague Bowen,California Institute of Technology
Iram Parveen Bilal,California Institute of Technology
Iram Parveen Bilal,University of Southern California
Irene Bustamante Adams,California State University
Irene Mecchi,University of California
Irene Tsu,Los Angeles City College
Irene Tsu (諸慧荷,Los Angeles City College
Irma Adelman,University of California
Irma Elsa Gonzalez,Stanford University
Irvin Kershner,University of Southern California
Irving S. Reed,California Institute of Technology
Irving Stoy Reed,California Institute of Technology
Isaac Choy,San Jose State University
Isaac Chuang,Stanford University
Isaac L. Chuang,Stanford University
Isabel Merrick Morgan,Stanford University
Isabel Morgan,Stanford University
Isadore Hall III,University of Southern California
"Isadore Hall, III",University of Southern California
Isaiah Saxon,Academy of Art University
Ishwar K. Puri,University of California
Ishwar Puri,University of California
Issa Rae,Stanford University
Ivan Glasenberg,University of Southern California
Ivan K. Fong,Stanford Law School
Ivan Misner,University of Southern California
Ivo Banac,Stanford University
Ivo Žďárek,Stanford University
J. B. Disanayake,University of California
J. Darrell Duffie,Stanford University
J. Doyne Farmer,Stanford University
J. Doyne Farmer,University of California
J. Hyam Rubinstein,University of California
J. J. Jelincic,Saint Mary's College of California
J. J. Jelincic,Golden Gate University
J. Michael Harrison,Stanford University
J. Michael Scott,San Diego State University
J. P. Calderon,California State University
J. P. LaSalle,California Institute of Technology
J. Paul Reddam,University of Southern California
J. R. Tucker,California Institute of Technology
J. Sterling Livingston,University of Southern California
J. Terrence Lanni,University of Southern California
"J. V. Remsen, Jr.",Stanford University
J. Warner Wallace,University of California
J.C.C. McKinsey,University of California
JB Straubel,Stanford University
Jack Angel,San Francisco State University
Jack Black,UCLA School of Theater
Jack Catran,University of California
Jack Catran,University of Southern California
Jack Cuzick,Harvey Mudd College
Jack Cuzick,Claremont Graduate University
Jack Dunham,University of Southern California
Jack Dwayne Thrasher,California State University
Jack Hadjinian,University of Southern California
Jack Halberstam,University of California
Jack Hannah,California Institute of the Arts
Jack Kemp,Occidental College
Jack Koehler,San Francisco State University
Jack Lindquist,University of Southern California
Jack Mullin,Santa Clara University
Jack O'Connell,California State University
Jack Orswell,University of Southern California
Jack R. Lousma,Naval Postgraduate School
Jack Scott,Claremont Graduate University
Jack Thrasher,California State University
Jack Weiss,UCLA School of Law
Jack Wisdom,California Institute of Technology
Jackie Lacey,USC Gould School of Law
Jackie Lacey,University of California
Jackie Speier,University of California
Jackie Sumell,Stanford University
Jackson Katz,University of California
Jackson Nickerson,University of California
Jackson T. Katz,University of California
Jacob Bigeleisen,University of California
Jacob Palis,University of California
Jacob Savir,Stanford University
Jacqueline Nguyen,UCLA School of Law
Jacqueline Nguyen,Occidental College
Jade Q. Wang,Stanford University
Jade Wang,Stanford University
Jae U. Jung,University of California
Jagat Murari,University of Southern California
Jahna Lindemuth,UC Berkeley School of Law
Jaime Levy,San Francisco State University
Jaime Levy Russell,San Francisco State University
Jaiveer Shergill,UC Berkeley School of Law
Jake Siewert,University of California
Jake Zimmerman,Claremont McKenna College
Jaleel White,University of California
Jamaa Fanaka,El Camino College Compton Center
Jamaa Fanaka,University of California
Jamais Cascio,University of California
James A. Bassham,University of California
James Aiona,University of the Pacific (United States)
James B. Allen,University of Southern California
James B. Hartle,California Institute of Technology
James B. Macelwane,University of California
James B. Orlin,California Institute of Technology
James B. Orlin,Stanford University
James B. Utt,University of Southern California
James Bassham,University of California
James Bayley,Stanford University
James Billmaier,Santa Clara University
James Bjorken,Stanford University
"James Bloodworth, Jr.",Stanford University
James C. Bliss,Stanford University
James C. Corman,USC Gould School of Law
James C. Corman,University of California
James C. Fletcher,California Institute of Technology
James C. Kaufman,University of Southern California
James Coburn,Los Angeles City College
James Cole,University of California
James D. A. van Hoften,University of California
James D. Hamilton,University of California
James D. Hart,Stanford University
James D. Hollan,Stanford University
James D. Phelan,University of San Francisco
James D. Watkins,Naval Postgraduate School
James David Hart,Stanford University
James Day Hodgson,University of California
James Dean,University of California
James Dean,Santa Monica College
James Demmel,California Institute of Technology
James Demmel,University of California
James Donato,Stanford Law School
James Duderstadt,California Institute of Technology
James Duke Mason,California Lutheran University
James E. Ferrell,Stanford University
James E. Gunn,California Institute of Technology
James E. Rogers,University of Southern California
James E. Thompson,San Jose State University
James Eagan Holmes,University of California
James Earl Baumgartner,University of California
James Edward Gunn,California Institute of Technology
