celebrity,hometown,x,y
Coast Modern,California,35.4586,-119.355
Cobra Skulls,Reno,39.5272,-119.822
Coconut Records,California,35.4586,-119.355
Codename Mike,California,35.4586,-119.355
Coke Escovedo,California,35.4586,-119.355
Cold Cave,California,35.4586,-119.355
Cold Forty Three,California,35.4586,-119.355
Cold War,Orange County,33.67,-117.78
Cold War Kids,Long Beach,33.7683,-118.196
Cole Plante,California,35.4586,-119.355
Colette Carr,California,35.4586,-119.355
Collage,California,35.4586,-119.355
Colleen D'Agostino,Simi Valley,34.2711,-118.739
Colleen Green,California,35.4586,-119.355
College Boyz,California,35.4586,-119.355
Collide,California,35.4586,-119.355
Collinz Room,California,35.4586,-119.355
Colonel Les Claypool's Fearless Flying Frog Brigade,California,35.4586,-119.355
Comets on Fire,California,35.4586,-119.355
Coming of Age,Compton,33.8967,-118.225
Compton Menace,California,35.4586,-119.355
Compton's Most Wanted,Compton,33.8967,-118.225
ComputeHer,Ventura County,34.2808,-119.295
Con Funk Shun,Vallejo,38.1131,-122.236
Concrete Blonde,California,35.4586,-119.355
Conducting from the Grave,Sacramento,38.5556,-121.469
Confide,California,35.4586,-119.355
Connie Price and the Keystones,Los Angeles,34.05,-118.25
Connie Ruel,Hollywood,34.1,-118.333
Consider The Thief,Sacramento,38.5556,-121.469
Controller 7,Berkeley,37.8717,-122.275
Cormorant,California,35.4586,-119.355
Corrupted Ideals,Long Beach,33.7683,-118.196
Cosmic Slop Shop,Oakland,37.8044,-122.273
Cosmologic,San Diego,32.715,-117.162
Count Five,California,35.4586,-119.355
Count Justice,California,35.4586,-119.355
Counting Crows,Berkeley,37.8717,-122.275
Country Dick Montana,California,35.4586,-119.355
Country Joe and the Fish,Berkeley,37.8717,-122.275
Country Weather,California,35.4586,-119.355
Cove Reber,Vista,33.1936,-117.241
Cracker,Redlands,34.0547,-117.183
Cradle of Thorns,Bakersfield,35.3667,-119.017
Craicmore,Los Angeles,34.05,-118.25
Craig Chaquico,California,35.4586,-119.355
Craig Taro Gold,Del Mar,32.955,-117.264
Craig's Brother,Santa Cruz,36.9719,-122.026
Crash Worship,California,35.4586,-119.355
Crazy Horse,California,35.4586,-119.355
Crazy Town,California,35.4586,-119.355
Creation of Sunlight,Long Beach,33.7683,-118.196
Creative Adult,California,35.4586,-119.355
Creedence Clearwater Revival,El Cerrito,37.9158,-122.312
Creeper Lagoon,California,35.4586,-119.355
Crime In Choir,California,35.4586,-119.355
Crimpshrine,Berkeley,37.8717,-122.275
Crimson,California,35.4586,-119.355
Cristina Vee,Norwalk,33.9069,-118.083
Critical Mass,San Francisco,37.7833,-122.417
Crocodiles,California,35.4586,-119.355
Crooks On Tape,Los Angeles,34.05,-118.25
Crosby Loggins,Santa Barbara,34.4258,-119.714
"Crosby, Stills, Nash & Young",California,35.4586,-119.355
Crossed Out,Encinitas,33.0444,-117.272
Crosses,California,35.4586,-119.355
Crown City Rockers,Oakland,37.8044,-122.273
Crucifix,Berkeley,37.8717,-122.275
Crumbächer,California,35.4586,-119.355
Cruzados,California,35.4586,-119.355
Cry Wolf,San Francisco Bay Area,37.75,-122.283
Cryptacize,California,35.4586,-119.355
Cryptic Slaughter,California,35.4586,-119.355
Crystal Antlers,Long Beach,33.7683,-118.196
Crystal Egger,Grand Terrace,34.0311,-117.317
Crystal Skulls,California,35.4586,-119.355
Culann's Hounds,California,35.4586,-119.355
Curtis Macdonald,California,35.4586,-119.355
Curtiss King,California,35.4586,-119.355
Cutthroat Boyz,Long Beach,33.7683,-118.196
Cymphonique Miller,California,35.4586,-119.355
Cynthesis,California,35.4586,-119.355
Cynthia Basinet,Los Angeles,34.05,-118.25
Cypress Hill,South Gate,33.9442,-118.195
D-Loc,Placentia,33.8825,-117.855
D-Shot,Vallejo,38.1131,-122.236
D-Styles,California,35.4586,-119.355
D. J. Rogers,California,35.4586,-119.355
D.I.,California,35.4586,-119.355
DANiiVORY,California,35.4586,-119.355
DJ Ammo,California,35.4586,-119.355
DJ Cheapshot,Burbank,34.1803,-118.328
DJ Dahi,California,35.4586,-119.355
DJ Day,Palm Springs,33.8303,-116.545
DJ Disk,San Francisco,37.7833,-122.417
DJ Earworm,San Francisco,37.7833,-122.417
DJ Flash,Sacramento,38.5556,-121.469
DJ Greyboy,San Francisco,37.7833,-122.417
DJ Homicide,Pasadena,34.1561,-118.132
DJ Hoppa,Panorama City,34.2247,-118.449
DJ Khalil,California,35.4586,-119.355
DJ King Assassin,San Jose,37.3333,-121.9
DJ Mustard,California,35.4586,-119.355
DJ Nu-Mark,California,35.4586,-119.355
DJ Rose,California,35.4586,-119.355
DJ Shadow,Davis,38.5539,-121.738
DJ Slip,Inglewood,33.9575,-118.346
DJ Trevi,Los Angeles,34.05,-118.25
DJ Yella,Compton,33.8967,-118.225
DKFXP,California,35.4586,-119.355
DNCE,California,35.4586,-119.355
DOROTHY,California,35.4586,-119.355
DRS,Sacramento,38.5556,-121.469
DWNTWN,California,35.4586,-119.355
DWV,California,35.4586,-119.355
Da Lench Mob,California,35.4586,-119.355
Da'unda'dogg,Vallejo,38.1131,-122.236
Dada,California,35.4586,-119.355
Daddy Kev,California,35.4586,-119.355
Daddy X,California,35.4586,-119.355
Daedelus,California,35.4586,-119.355
Dag för Dag,San Francisco,37.7833,-122.417
Daisy Dern,California,35.4586,-119.355
Dale Henderson,Venice,33.9908,-118.459
Dale Turner,California,35.4586,-119.355
Dallas Kruse,California,35.4586,-119.355
DallasK,California,35.4586,-119.355
Damien LeRoy,California,35.4586,-119.355
Damn Yankees,California,35.4586,-119.355
Damon Sharpe,California,35.4586,-119.355
Damu Ridas,California,35.4586,-119.355
Dan Barrett,Pasadena,34.1561,-118.132
Dan Dugmore,Pasadena,34.1561,-118.132
Dan Harrington,California,35.4586,-119.355
Dan Koch,Los Gatos,37.2361,-121.962
Dan O'Mahony,Orange County,33.67,-117.78
Dan Potthast,California,35.4586,-119.355
Dan Radlauer,La Habra Heights,33.9639,-117.953
Dance Gavin Dance,California,35.4586,-119.355
Daniel Amos,California,35.4586,-119.355
Daniel Pearl,Los Angeles,34.05,-118.25
Daniel Simon,Los Angeles,34.05,-118.25
Danny Faragher,California,35.4586,-119.355
Danny Flores,Huntington Beach,33.6928,-118.0
Danny Herrera,Los Angeles,34.05,-118.25
Danny Im,California,35.4586,-119.355
Danny Nucci,California,35.4586,-119.355
Danny O. Faragher,California,35.4586,-119.355
Danny Sugerman,Los Angeles,34.05,-118.25
Dante Di Loreto,Santa Barbara,34.4258,-119.714
Danyew,San Diego,32.715,-117.162
Darian Sahanaja,Los Angeles,34.05,-118.25
Darin Epsilon,Los Angeles,34.05,-118.25
Dark Angel,California,35.4586,-119.355
Dark Waves,California,35.4586,-119.355
Darlene Love,California,35.4586,-119.355
Darling Thieves,Huntington Beach,33.6928,-118.0
Darren Farris,California,35.4586,-119.355
Daryl Coley,Oakland,37.8044,-122.273
Das Klown,Long Beach,33.7683,-118.196
Daughters of Mara,California,35.4586,-119.355
Dave Alvin,Downey,33.9381,-118.131
Dave Hillyard,California,35.4586,-119.355
Dave Myers and The Surftones,Southern California,34.0,-117.0
Dave Palmer,California,35.4586,-119.355
Dave Pensado,California,35.4586,-119.355
Davey Havok,Ukiah,39.1503,-123.208
David Anderle,California,35.4586,-119.355
David Choi,Garden Grove,33.7789,-117.96
David Daleiden,Davis,38.5539,-121.738
David Daughtry,California,35.4586,-119.355
David Grisman Quintet,California,35.4586,-119.355
David Hillyard,California,35.4586,-119.355
David Hume Kennerly,Los Angeles,34.05,-118.25
David James Kennedy,Poway,32.97,-117.039
David Kennedy,Poway,32.97,-117.039
David Murray,California,35.4586,-119.355
David Nelson,San Francisco Bay Area,37.75,-122.283
David Saxe,Nevada,39.0,-117.0
Dawes,Los Angeles,34.05,-118.25
Dawn Robinson,Oakland,37.8044,-122.273
Dax Pierson,California,35.4586,-119.355
Day,Palm Springs,33.8303,-116.545
Day Wave,Oakland,37.8044,-122.273
Days Between Stations,California,35.4586,-119.355
Dayseeker,California,35.4586,-119.355
Dayshell,Southern California,34.0,-117.0
Daz Dillinger,Long Beach,33.7683,-118.196
Dazzie Dee,California,35.4586,-119.355
Dead Artist Syndrome,California,35.4586,-119.355
Dead Executives,Glendale,34.1461,-118.255
Dead Fucking Last,California,35.4586,-119.355
Dead Kennedys,California,35.4586,-119.355
Dead Man's Bones,California,35.4586,-119.355
Dead Sara,California,35.4586,-119.355
Dead Winter Carpenters,California,35.4586,-119.355
Dead by Sunrise,California,35.4586,-119.355
Dead to Me,California,35.4586,-119.355
Deadlee,California,35.4586,-119.355
Deadlights,Long Beach,33.7683,-118.196
Deadsy,California,35.4586,-119.355
Deafheaven,California,35.4586,-119.355
Dealership,Berkeley,37.8717,-122.275
Deap Vally,California,35.4586,-119.355
Death Angel,San Francisco Bay Area,37.75,-122.283
Death Grips,Sacramento,38.5556,-121.469
Death by Stereo,California,35.4586,-119.355
Death to Anders,California,35.4586,-119.355
DeathRiders,California,35.4586,-119.355
Deathday,California,35.4586,-119.355
Deathray,Sacramento,38.5556,-121.469
Deb Obarski,San Jose,37.3333,-121.9
Debate Team,California,35.4586,-119.355
Deconstruction,California,35.4586,-119.355
Decrepit Birth,Santa Cruz,36.9719,-122.026
Deeds of Flesh,California,35.4586,-119.355
Deep Dark Robot,California,35.4586,-119.355
Deep Dickollective,California,35.4586,-119.355
Deep Puddle Dynamics,California,35.4586,-119.355
Deep Voices,California,35.4586,-119.355
Deerhoof,California,35.4586,-119.355
Defari,Santa Monica,34.0219,-118.481
Defiance,California,35.4586,-119.355
Defiler,California,35.4586,-119.355
Del the Funky Homosapien,California,35.4586,-119.355
Delaney & Bonnie,California,35.4586,-119.355
Deli Creeps,San Francisco,37.7833,-122.417
Delinquent Habits,California,35.4586,-119.355
Deliverance,California,35.4586,-119.355
Delta Spirit,California,35.4586,-119.355
Delta-S,California,35.4586,-119.355
Dem Jointz,Compton,33.8967,-118.225
Dennis Provisor,California,35.4586,-119.355
Dennis Wilson,Hawthorne,33.9172,-118.349
Denny Carmassi,California,35.4586,-119.355
Deorro,West Covina,34.0567,-117.919
Depswa,California,35.4586,-119.355
Derek Bloom,South Pasadena,34.1161,-118.15
Derek Johnson,Sacramento,38.5556,-121.469
Deron Johnson,Los Angeles,34.05,-118.25
Desa,Oakland,37.8044,-122.273
Desario,Sacramento,38.5556,-121.469
Descendents,Manhattan Beach,33.8889,-118.405
Desirée Goyette,California,35.4586,-119.355
Desperation Squad,Pomona,34.0608,-117.756
Destroy the Runner,California,35.4586,-119.355
Deuce,California,35.4586,-119.355
Devil You Know,California,35.4586,-119.355
DevilDriver,California,35.4586,-119.355
Devin Sarno,Glendale,34.1461,-118.255
Dexter Holland,Garden Grove,33.7789,-117.96
Dez Fafara,California,35.4586,-119.355
Dia De Los Muertos,California,35.4586,-119.355
Dibiase,California,35.4586,-119.355
Die Trying,California,35.4586,-119.355
Diego's Umbrella,California,35.4586,-119.355
Diesel Boy,Santa Rosa,38.4486,-122.705
Dieselhed,Arcata,40.8664,-124.083
Dig,California,35.4586,-119.355
Digi+Phonics,California,35.4586,-119.355
Digital Underground,California,35.4586,-119.355
Dilated Peoples,California,35.4586,-119.355
Dillard & Clark,California,35.4586,-119.355
Dillon Francis,California,35.4586,-119.355
Dionysos,California,35.4586,-119.355
Dios(malos,Hawthorne,33.9172,-118.349
Dirty Heads,California,35.4586,-119.355
Dirty Looks,California,35.4586,-119.355
Dirty Penny,California,35.4586,-119.355
Dirty White Boy,California,35.4586,-119.355
Disflex6,California,35.4586,-119.355
Dishwalla,California,35.4586,-119.355
Dispirit,California,35.4586,-119.355
Distant Cousins,California,35.4586,-119.355
Distant Relatives,California,35.4586,-119.355
Diva Destruction,California,35.4586,-119.355
Divine Heresy,California,35.4586,-119.355
Dizmas,Lancaster,34.6833,-118.15
Dj Trevi,Los Angeles,34.05,-118.25
Djam Karet,California,35.4586,-119.355
Doctor Steel,California,35.4586,-119.355
Dog Boy,California,35.4586,-119.355
Dog Party,Sacramento,38.5556,-121.469
Doggy Style,Placentia,33.8825,-117.855
Doggy's Angels,California,35.4586,-119.355
Dogwood,Vista,33.1936,-117.241
Dokken,Los Angeles,34.05,-118.25
Dollshead,California,35.4586,-119.355
Dom Kennedy,Leimert Park,34.0078,-118.327
Domenica,California,35.4586,-119.355
Dominant Legs,California,35.4586,-119.355
Dominic Balli,California,35.4586,-119.355
Domino,Long Beach,33.7683,-118.196
Don Buchla,Berkeley,37.8717,-122.275
Don Cisco,California,35.4586,-119.355
Don Grierson,Los Angeles,34.05,-118.25
Don Irving,Pasadena,34.1561,-118.132
Don Yee,California,35.4586,-119.355
Donald Appleyard,Berkeley,37.8717,-122.275
Donald H. Yee,California,35.4586,-119.355
Donavon Frankenreiter,California,35.4586,-119.355
Dot Hacker,California,35.4586,-119.355
Double Take,California,35.4586,-119.355
Doug Boehm,South Pasadena,34.1161,-118.15
Doug Rhodes,California,35.4586,-119.355
Down by Law,California,35.4586,-119.355
Downfall,Berkeley,37.8717,-122.275
Downset.,Los Angeles,34.05,-118.25
Doyle Holly,California,35.4586,-119.355
Dr. Know,Oxnard,34.1914,-119.183
Dr. Rock,California,35.4586,-119.355
Dragonlord,San Francisco Bay Area,37.75,-122.283
Dre Allen,Oakland,37.8044,-122.273
Dread Zeppelin,Sierra Madre,34.1647,-118.051
Dream,California,35.4586,-119.355
Dredg,Los Gatos,37.2361,-121.962
Dresden and Johnston,California,35.4586,-119.355
Dresta,California,35.4586,-119.355
Drew Deezy,California,35.4586,-119.355
Drive Like Jehu,California,35.4586,-119.355
Droid,Long Beach,33.7683,-118.196
Drop City Yacht Club,California,35.4586,-119.355
Dru Down,Oakland,37.8044,-122.273
Drunk Horse,Oakland,37.8044,-122.273
Dry Cell,California,35.4586,-119.355
Dryve,California,35.4586,-119.355
Dub Thompson,California,35.4586,-119.355
Dublin Death Patrol,California,35.4586,-119.355
Dudley Perkins,Oxnard,34.1914,-119.183
Dueto Las Voces del Rancho,Los Angeles,34.05,-118.25
Dum Dum Girls,Los Angeles,34.05,-118.25
Dumb Numbers,Los Angeles,34.05,-118.25
Dumblonde,California,35.4586,-119.355
Durga McBroom,California,35.4586,-119.355
Dust Brothers,California,35.4586,-119.355
Duster,San Jose,37.3333,-121.9
"Dustin ""D-Loc"" Miller",Placentia,33.8825,-117.855
Dustin Boyer,El Cajon,32.7983,-116.96
Dustin Kensrue,Orange County,33.67,-117.78
Dustin O'Halloran,Los Angeles,34.05,-118.25
Dusty Rhodes and the River Band,California,35.4586,-119.355
Duvid Swirsky,California,35.4586,-119.355
Dweezil Zappa,Los Angeles,34.05,-118.25
Dynamic Twins,California,35.4586,-119.355
Dynasty,Los Angeles,34.05,-118.25
Dystopia,Oakland,37.8044,-122.273
Dâm-Funk,Pasadena,34.1561,-118.132
Dévics,California,35.4586,-119.355
Dām-FunK,Pasadena,34.1561,-118.132
E-A-Ski,Oakland,37.8044,-122.273
E. Kidd Bogart,California,35.4586,-119.355
E.S. Posthumus,California,35.4586,-119.355
EA-Ski,Oakland,37.8044,-122.273
EZ-Street,California,35.4586,-119.355
Eager Seas,California,35.4586,-119.355
Eagles,California,35.4586,-119.355
Eagles of Death Metal,Palm Desert,33.7222,-116.374
Earl Sweatshirt,California,35.4586,-119.355
Early Graves,California,35.4586,-119.355
Earshot,California,35.4586,-119.355
Eartha,California,35.4586,-119.355
Earthless,California,35.4586,-119.355
East West,California,35.4586,-119.355
Eastern Shadows,Los Angeles,34.05,-118.25
Eastmountainsouth,California,35.4586,-119.355
Echo Hollow,Burbank,34.1803,-118.328
Echoes of Eternity,California,35.4586,-119.355
Echosmith,California,35.4586,-119.355
Econochrist,Oakland,37.8044,-122.273
Ed Breckenridge,Orange County,33.67,-117.78
Ed Hill,Hanford,36.3275,-119.646
Ed Masuga,California,35.4586,-119.355
EdIT,California,35.4586,-119.355
Eddie & the Tide,California,35.4586,-119.355
Eddie Breckenridge,Orange County,33.67,-117.78
Eddie Fisher,Mission Viejo,33.6128,-117.656
Eddie Money,Berkeley,37.8717,-122.275
Eddie Van Halen,Pasadena,34.1561,-118.132
Edmund Sylvers,California,35.4586,-119.355
Ednaswap,California,35.4586,-119.355
Edward Sharpe and the Magnetic Zeros,California,35.4586,-119.355
Edwin Birdsong,California,35.4586,-119.355
Edwin L. Birdsong,California,35.4586,-119.355
Egyptian,Nevada,39.0,-117.0
Eighteen Visions,California,35.4586,-119.355
El Ten Eleven,California,35.4586,-119.355
El Vez,Chula Vista,32.6278,-117.048
Elaine Clara Marie Hermenia Youngs,Lake Forest,33.6417,-117.691
Elaine Youngs,Lake Forest,33.6417,-117.691
Elan Atias,California,35.4586,-119.355
Eleanor Coppola,California,35.4586,-119.355
Electric Guest,Los Angeles,34.05,-118.25
Electric Love Hogs,California,35.4586,-119.355
Eleven,California,35.4586,-119.355
Eli Balas,Nevada,39.0,-117.0
Eli Elezra,Nevada,39.0,-117.0
Elijah Blue Allman,California,35.4586,-119.355
Eliquate,California,35.4586,-119.355
Ellen and the Escapades,San Francisco,37.7833,-122.417
Ellona Santiago,San Lorenzo,37.6811,-122.124
Ellwood,California,35.4586,-119.355
Elucidate,San Francisco,37.7833,-122.417
Elysia,Shingle Springs,38.6658,-120.926
Emanon,California,35.4586,-119.355
Emanuela Bellezza,California,35.4586,-119.355
Embers,California,35.4586,-119.355
Emblem3,Huntington Beach,33.6928,-118.0
Embrace the End,Sacramento,38.5556,-121.469
Emcee Lynx,Fremont,37.5483,-121.999
Emerson Windy,California,35.4586,-119.355
Emily Day,Torrance,33.8347,-118.341
Emily's Sassy Lime,California,35.4586,-119.355
Emitt Rhodes,Hawthorne,33.9172,-118.349
Emma Malabuyo,Milpitas,37.4347,-121.895
En Vogue,Oakland,37.8044,-122.273
Enablers,California,35.4586,-119.355
Enchant,San Francisco,37.7833,-122.417
EndeverafteR,Sacramento,38.5556,-121.469
Enemy You,California,35.4586,-119.355
Engine 88,California,35.4586,-119.355
Ensemble Mik Nawooj,San Francisco,37.7833,-122.417
Epidemic,California,35.4586,-119.355
Erase Errata,California,35.4586,-119.355
Erfan,Irvine,33.6694,-117.823
Erfan (عِرفان,Irvine,33.6694,-117.823
Eric Bellinger,California,35.4586,-119.355
Eric Clayton,California,35.4586,-119.355
Eric Friedman,California,35.4586,-119.355
Eric Hester,California,35.4586,-119.355
Eric Kunze,California,35.4586,-119.355
Eric McFadden,California,35.4586,-119.355
Eric Peterson,Berkeley,37.8717,-122.275
Eric Stefani,Anaheim,33.8361,-117.89
Eric Stenman,California,35.4586,-119.355
Eric Uglum,Huntington Beach,33.6928,-118.0
Ericka Yancey,California,35.4586,-119.355
Erika Harlacher,Camarillo,34.2333,-119.033
Erling Wold,Burbank,34.1803,-118.328
Ernest Bennett,California,35.4586,-119.355
Ernie Andrews,California,35.4586,-119.355
Ernie Halter,California,35.4586,-119.355
Ernie and the Emperors,Santa Barbara,34.4258,-119.714
Escape the Fate,Nevada,39.0,-117.0
Eskmo,California,35.4586,-119.355
Estradasphere,Santa Cruz,36.9719,-122.026
Eudora,Orange County,33.67,-117.78
Eulogies,California,35.4586,-119.355
Evan Christopher,Long Beach,33.7683,-118.196
Evan Hoburg Patak,Pleasanton,37.6625,-121.882
Evan Kidd Bogart,California,35.4586,-119.355
Evan Patak,Pleasanton,37.6625,-121.882
Evan Shanks,Los Angeles,34.05,-118.25
Eve 6,La Crescenta-Montrose,34.225,-118.237
Eve Marie Shahoian,Oakland,37.8044,-122.273
Everest,California,35.4586,-119.355
Everybody Was in the French Resistance...Now!,California,35.4586,-119.355
Everyone Orchestra,California,35.4586,-119.355
Everything Goes Cold,Alameda,37.7561,-122.274
Evidence,California,35.4586,-119.355
EvilDead,California,35.4586,-119.355
Evolove,Los Angeles,34.05,-118.25
Exhumed,San Jose,37.3333,-121.9
Exile,California,35.4586,-119.355
Exmortus,Whittier,33.9656,-118.024
Exodus,Richmond,37.9358,-122.348
Expen$ive Taste,California,35.4586,-119.355
Explorers Club,California,35.4586,-119.355
Expo '70,Los Angeles,34.05,-118.25
Extra Prolific,California,35.4586,-119.355
Eye Alaska,Orange County,33.67,-117.78
Eyes of Fire,Orange County,33.67,-117.78
F-Minus,California,35.4586,-119.355
F. Bill Goodwin,California,35.4586,-119.355
F.Y.P,California,35.4586,-119.355
FFS,California,35.4586,-119.355
FIDLAR,Los Angeles,34.05,-118.25
FM Bats,California,35.4586,-119.355
FOREVER,California,35.4586,-119.355
FRENSHIP,Los Angeles,34.05,-118.25
Face to Face,Victorville,34.5361,-117.291
Facing New York,San Francisco,37.7833,-122.417
Factrix,California,35.4586,-119.355
Faith No More,California,35.4586,-119.355
Faizon Love,California,35.4586,-119.355
Falling Cycle,California,35.4586,-119.355
Falling Sickness,Riverside,33.9481,-117.396
False Alarm,California,35.4586,-119.355
Family of the Year,California,35.4586,-119.355
Fang,Berkeley,37.8717,-122.275
Fantômas,California,35.4586,-119.355
Far,Sacramento,38.5556,-121.469
Far East Movement,California,35.4586,-119.355
Farside,Orange County,33.67,-117.78
Fasedown,California,35.4586,-119.355
Fashawn,California,35.4586,-119.355
Fateh,Hayward,37.6689,-122.081
Fatgums,California,35.4586,-119.355
Fattburger,California,35.4586,-119.355
Faulter,Anaheim,33.8361,-117.89
Faun Fables,Oakland,37.8044,-122.273
Fear,California,35.4586,-119.355
Fear Factory,California,35.4586,-119.355
Fear God,Orange County,33.67,-117.78
"Fenton ""Jonesy"" Jones",California,35.4586,-119.355
Fenton Jones,California,35.4586,-119.355
Ferras,California,35.4586,-119.355
Fever Charm,Oakland,37.8044,-122.273
Fiction Family,California,35.4586,-119.355
Fiction Reform,Orange County,33.67,-117.78
Fififf Teeners,Palm Desert,33.7222,-116.374
Fifty Foot Hose,California,35.4586,-119.355
Fight Fair!,California,35.4586,-119.355
Fight the Sky,Sacramento,38.5556,-121.469
Film School,California,35.4586,-119.355
Filth,East Bay (San Francisco Bay Area),37.7,-122.0
Filthy Thieving Bastards,California,35.4586,-119.355
Final Conflict,Long Beach,33.7683,-118.196
Finch,California,35.4586,-119.355
Finest Hour,Palmdale,34.5794,-118.117
Fingazz,California,35.4586,-119.355
Fingertight,Martinez,38.0194,-122.134
Finish Ticket,Alameda,37.7561,-122.274
Fireball Ministry,California,35.4586,-119.355
First Blood,California,35.4586,-119.355
Fisher,California,35.4586,-119.355
Fishtank Ensemble,California,35.4586,-119.355
Fishwife,California,35.4586,-119.355
Fistful of Mercy,Venice,33.9908,-118.459
Fitz and The Tantrums,Los Angeles,34.05,-118.25
Flamin' Groovies,California,35.4586,-119.355
Flash Bang Grenada,California,35.4586,-119.355
Flattbush,Bellflower,33.8881,-118.128
Fleshies,Oakland,37.8044,-122.273
Fleshwrought,California,35.4586,-119.355
Flight 180,Orange County,33.67,-117.78
Flipper,California,35.4586,-119.355
Flipsyde,Oakland,37.8044,-122.273
Flo & Eddie,Los Angeles,34.05,-118.25
Flogging Molly,California,35.4586,-119.355
Fly Panda,California,35.4586,-119.355
Flying Lotus,California,35.4586,-119.355
Flying Other Brothers,San Francisco,37.7833,-122.417
Flynn Adam,California,35.4586,-119.355
Focused,California,35.4586,-119.355
Foesum,Long Beach,33.7683,-118.196
Fol Chen,California,35.4586,-119.355
Fold Zandura,California,35.4586,-119.355
Fonda,California,35.4586,-119.355
Forbidden,California,35.4586,-119.355
Foreign Born,Los Angeles,34.05,-118.25
Foreknown,Alhambra,34.0819,-118.135
Forever Came Calling,Twentynine Palms,34.1356,-116.054
Forrest Kline,Ashland,42.1914,-122.701
Fort Minor,California,35.4586,-119.355
Fortunate Fall,California,35.4586,-119.355
Fortune,Los Angeles,34.05,-118.25
Foster the People,Los Angeles,34.05,-118.25
Four Star Mary,California,35.4586,-119.355
Foxboro Hot Tubs,San Francisco Bay Area,37.75,-122.283
Foxygen,Agoura Hills,34.1533,-118.762
Francis and the Lights,Oakland,37.8044,-122.273
Frank Navetta,Manhattan Beach,33.8889,-118.405
Frank The Baptist,California,35.4586,-119.355
Frankie,California,35.4586,-119.355
Franky Perez,Nevada,39.0,-117.0
Fred Cole,Nevada,39.0,-117.0
Fred Jackson Jr.,California,35.4586,-119.355
"Fred Jackson, Jr.",California,35.4586,-119.355
Fred Sablan,Santa Clara County,37.36,-121.97
Fred W Warmsley iii,California,35.4586,-119.355
Fred Warmsley,California,35.4586,-119.355
Freddie Perren,California,35.4586,-119.355
Free Moral Agents,California,35.4586,-119.355
Free the Robots,Santa Ana,33.7408,-117.881
Freedom Fry,Los Angeles,34.05,-118.25
Freescha,California,35.4586,-119.355
Freestyle Fellowship,California,35.4586,-119.355
French Frith Kaiser Thompson,California,35.4586,-119.355
Fresh Caesar,San Jose,37.3333,-121.9
Friendzone,East Bay (San Francisco Bay Area),37.7,-122.0
Frightwig,San Francisco,37.7833,-122.417
From Indian Lakes,California,35.4586,-119.355
From Monument to Masses,California,35.4586,-119.355
Frost,East Los Angeles,34.0333,-118.167
Frumious Bandersnatch,San Francisco,37.7833,-122.417
Fu Manchu,Orange County,33.67,-117.78
Fuck,Oakland,37.8044,-122.273
Fuel,San Francisco Bay Area,37.75,-122.283
Full Metal Jackie,Los Angeles,34.05,-118.25
Funeral Diner,California,35.4586,-119.355
Funeral Party,Whittier,33.9656,-118.024
Funk Mobb,Vallejo,38.1131,-122.236
Further,California,35.4586,-119.355
Furthur,San Francisco,37.7833,-122.417
Future Brown,Los Angeles,34.05,-118.25
Future User,California,35.4586,-119.355
Future of Forestry,California,35.4586,-119.355
Futures End,California,35.4586,-119.355
Fuzz,California,35.4586,-119.355
G.G.F.H.,Oakland,37.8044,-122.273
G.R.L.,California,35.4586,-119.355
GOGO13,Huntington Beach,33.6928,-118.0
GRMLN,California,35.4586,-119.355
Gabby La La,California,35.4586,-119.355
Gabe Lopez,California,35.4586,-119.355
Gabriel & Dresden,California,35.4586,-119.355
Gabriel Campisi,Nevada,39.0,-117.0
Gabrielle “Goldie” Nowee,California,35.4586,-119.355
Gaelic Storm,Santa Monica,34.0219,-118.481
Galt Aureus,Southern California,34.0,-117.0
Galvanized Souls,Somis,34.2572,-118.995
Game Theory,Davis,38.5539,-121.738
Gangrene,California,35.4586,-119.355
Gangsta Dresta,California,35.4586,-119.355
Gardens & Villa,California,35.4586,-119.355
Garfunkel and Oates,California,35.4586,-119.355
Gary Lewis,California,35.4586,-119.355
Gary Puckett & The Union Gap,San Diego,32.715,-117.162
Gary Young,Stockton,37.9756,-121.301
Gay Men's Chorus of Los Angeles,West Hollywood,34.0878,-118.372
Geggy Tah,California,35.4586,-119.355
Gene Louis,Orange County,33.67,-117.78
Gene Roddenberry,California,35.4586,-119.355
General Caine,California,35.4586,-119.355
Gennessee Lewis,Berkeley,37.8717,-122.275
Geoff Zanelli,Westminster,33.7514,-117.994
Geographer,California,35.4586,-119.355
George Earth,Santa Cruz,36.9719,-122.026
George Sarah,California,35.4586,-119.355
George Stone,Newhall,34.3839,-118.531
Gerardo Mejía,Glendale,34.1461,-118.255
Germs,California,35.4586,-119.355
Gerry Brown,California,35.4586,-119.355
Get Back Loretta,California,35.4586,-119.355
Ghost Machine,California,35.4586,-119.355
Ghost Town,California,35.4586,-119.355
Ghoul,Oakland,37.8044,-122.273
Giant Drag,California,35.4586,-119.355
Giant Squid,Sacramento,38.5556,-121.469
Gil Sharone,Los Angeles,34.05,-118.25
Gina Green,California,35.4586,-119.355
Gina Prince-Bythewood,Pacific Grove,36.6178,-121.921
Gina Villalobos,California,35.4586,-119.355
Gingger Shankar,Los Angeles,34.05,-118.25
Giraffage,California,35.4586,-119.355
Girlicious,California,35.4586,-119.355
Gitane Demone,Los Angeles,34.05,-118.25
Githa Hampson,Ashland,42.1914,-122.701
